 # CO2 IR 
 # For interval boundaries, see corresponding files  
 #Temperature(K)  100,  150,  200,  250,  300,  350,  400,  600, 
 #P(bar) 1.00e-05, 1.00e-04, 1.00e-03, 1.00e-02, 1.00e-01, 1.00e+00, 1.00e+01, 1.00e+02, 

  Quadrature weights w(quad)        Quadrature abscissas (g)
  0.00010   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.00100   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.01000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.10000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  1.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
 10.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
100.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 

          1
          300.0
  0.00001   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.00010   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.00100   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.01000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.10000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  1.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
 10.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
100.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 

          1
          350.0
  0.00001   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.00010   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.00100   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.01000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.10000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  1.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
 10.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
100.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 

          1
          400.0
  0.00001   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.00010   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.00100   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.01000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.10000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  1.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
 10.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
100.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 

          1
          600.0
  0.00001   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.00010   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.00100   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.01000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  0.10000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
  1.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
 10.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 
100.00000   3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 3.99844e-60 

          2
          100.0
  0.00001   3.28549e-45 7.20849e-43 1.25219e-40 2.46544e-39 1.09076e-38 1.45151e-38 4.12634e-38 1.10216e-36 
  0.00010   3.34624e-44 7.26022e-42 1.24910e-39 2.42934e-38 1.07629e-37 1.46081e-37 4.07753e-37 9.65249e-36 
  0.00100   3.32768e-43 7.20384e-41 1.24828e-38 2.42363e-37 1.09530e-36 1.43178e-36 3.94318e-36 6.83907e-35 
  0.01000   3.30003e-42 7.23200e-40 1.24589e-37 2.37622e-36 1.04147e-35 1.35601e-35 3.06959e-35 2.92924e-34 
  0.10000   3.32445e-41 6.91820e-39 1.15268e-36 1.81506e-35 7.25923e-35 9.44988e-35 1.45397e-34 2.52716e-34 
  1.00000   2.27778e-40 3.91579e-38 5.20622e-36 7.07797e-35 4.71114e-34 6.72172e-34 1.05973e-33 1.48476e-33 
 10.00000   1.97672e-39 1.38744e-37 8.91869e-36 6.99740e-34 4.56840e-33 6.39276e-33 1.00875e-32 1.37830e-32 
100.00000   8.92142e-39 2.51299e-37 3.17383e-36 4.41609e-33 2.59685e-32 3.55272e-32 5.40953e-32 7.15523e-32 

          2
          150.0
  0.00001   6.75005e-42 4.00232e-40 2.27659e-38 1.86302e-37 1.16859e-36 2.29399e-36 1.06802e-35 3.78109e-34 
  0.00010   6.75370e-41 4.01338e-39 2.28147e-37 1.86087e-36 1.16619e-35 2.28914e-35 1.05625e-34 3.07305e-33 
  0.00100   6.69603e-40 4.00810e-38 2.28603e-36 1.85796e-35 1.16226e-34 2.26862e-34 1.02087e-33 2.03906e-32 
  0.01000   6.70292e-39 3.97170e-37 2.27460e-35 1.84462e-34 1.10220e-33 2.08531e-33 7.91979e-33 7.81930e-32 
  0.10000   6.74196e-38 3.91409e-36 2.07319e-34 1.48864e-33 5.69381e-33 9.16493e-33 2.14559e-32 6.54744e-32 
  1.00000   6.34916e-37 2.42106e-35 1.02077e-33 5.43297e-33 8.78491e-33 9.81384e-33 1.15066e-32 1.84513e-32 
 10.00000   3.43257e-36 9.76341e-35 2.27958e-33 9.45730e-33 3.74244e-32 4.82675e-32 6.82872e-32 8.65264e-32 
100.00000   1.74786e-35 1.95254e-34 1.34865e-33 6.54716e-32 2.24944e-31 2.80020e-31 3.79809e-31 4.61777e-31 

          2
          200.0
  0.00001   1.47143e-40 5.67487e-39 3.02443e-37 2.62949e-36 1.74128e-35 3.45247e-35 1.58229e-34 7.28217e-33 
  0.00010   1.49488e-39 5.70604e-38 3.02072e-36 2.62906e-35 1.74136e-34 3.44960e-34 1.56995e-33 5.40553e-32 
  0.00100   1.49348e-38 5.70542e-37 3.02140e-35 2.62793e-34 1.73931e-33 3.44044e-33 1.53885e-32 3.47529e-31 
  0.01000   1.49401e-37 5.71341e-36 3.02406e-34 2.61794e-33 1.68010e-32 3.22665e-32 1.23170e-31 1.17427e-30 
  0.10000   1.49340e-36 5.69959e-35 2.85449e-33 2.10559e-32 8.72776e-32 1.41107e-31 3.51843e-31 1.08823e-30 
  1.00000   1.47974e-35 4.58764e-34 1.39091e-32 6.64574e-32 1.15298e-31 1.30719e-31 1.54552e-31 1.76246e-31 
 10.00000   1.23116e-34 1.75677e-33 2.75193e-32 7.83460e-32 9.71033e-32 1.22685e-31 1.67516e-31 2.09251e-31 
100.00000   5.76033e-34 4.39308e-33 2.40553e-32 1.86346e-31 5.00167e-31 5.95176e-31 7.57530e-31 8.86434e-31 

          2
          250.0
  0.00001   7.46345e-40 3.32755e-38 1.39772e-36 1.22324e-35 8.13369e-35 1.62274e-34 7.15790e-34 4.84032e-32 
  0.00010   7.31248e-39 3.33564e-37 1.39707e-35 1.22232e-34 8.13785e-34 1.62224e-33 7.10396e-33 3.05710e-31 
  0.00100   7.42372e-38 3.32958e-36 1.39141e-34 1.22204e-33 8.13356e-33 1.62026e-32 7.01457e-32 1.80642e-30 
  0.01000   7.39596e-37 3.33493e-35 1.39331e-33 1.21923e-32 7.97009e-32 1.54794e-31 5.79173e-31 5.74747e-30 
  0.10000   7.36995e-36 3.33030e-34 1.36082e-32 1.00722e-31 4.21490e-31 6.87843e-31 1.75985e-30 5.54942e-30 
  1.00000   7.35589e-35 2.95729e-33 7.21635e-32 3.11621e-31 5.61090e-31 6.41685e-31 7.71191e-31 8.93677e-31 
 10.00000   7.26644e-34 9.15214e-33 1.15339e-31 3.44844e-31 3.70390e-31 3.72431e-31 3.75094e-31 3.82248e-31 
100.00000   4.04696e-33 2.38828e-32 1.19212e-31 2.97359e-31 6.98714e-31 8.13216e-31 9.97504e-31 1.14111e-30 

          2
          300.0
  0.00001   1.98990e-39 1.18532e-37 3.88470e-36 3.15341e-35 2.10272e-34 4.25607e-34 1.80399e-33 1.68868e-31 
  0.00010   2.01786e-38 1.18021e-36 3.88560e-35 3.15696e-34 2.10126e-33 4.25483e-33 1.79680e-32 9.36411e-31 
  0.00100   2.00781e-37 1.18090e-35 3.88289e-34 3.15549e-33 2.10111e-32 4.25243e-32 1.77839e-31 5.18598e-30 
  0.01000   2.01069e-36 1.18246e-34 3.88124e-33 3.14910e-32 2.07443e-31 4.11912e-31 1.51106e-30 1.59571e-29 
  0.10000   1.99744e-35 1.18099e-33 3.80326e-32 2.70122e-31 1.13688e-30 1.84639e-30 4.81703e-30 1.58013e-29 
  1.00000   1.99618e-34 1.06995e-32 2.01929e-31 8.27937e-31 1.54340e-30 1.78125e-30 2.15408e-30 2.52139e-30 
 10.00000   1.96833e-33 2.74948e-32 3.05509e-31 8.89866e-31 9.56344e-31 9.61159e-31 9.67441e-31 9.72256e-31 
100.00000   1.31702e-32 6.42406e-32 3.07761e-31 4.27214e-31 8.25480e-31 9.47229e-31 1.13379e-30 1.28228e-30 

          2
          350.0
  0.00001   3.82104e-39 2.76326e-37 7.31560e-36 5.83103e-35 3.88793e-34 7.93069e-34 3.25959e-33 4.04711e-31 
  0.00010   3.85842e-38 2.75884e-36 7.28999e-35 5.82420e-34 3.88721e-33 7.92898e-33 3.24055e-32 1.95773e-30 
  0.00100   3.85727e-37 2.76200e-35 7.30671e-34 5.82321e-33 3.88576e-32 7.92733e-32 3.21704e-31 1.04133e-29 
  0.01000   3.86337e-36 2.75626e-34 7.24879e-33 5.81620e-32 3.84225e-31 7.72681e-31 2.81278e-30 3.16174e-29 
  0.10000   3.88359e-35 2.75649e-33 7.22313e-32 5.09805e-31 2.19769e-30 3.59649e-30 9.41823e-30 3.18494e-29 
  1.00000   3.86456e-34 2.56367e-32 4.22787e-31 1.58311e-30 3.04247e-30 3.52582e-30 4.28967e-30 5.07529e-30 
 10.00000   3.86095e-33 6.27791e-32 5.97654e-31 1.66543e-30 1.77246e-30 1.78080e-30 1.79169e-30 1.80004e-30 
100.00000   2.75452e-32 1.27153e-31 5.67698e-31 8.48708e-31 9.10321e-31 1.03393e-30 1.21845e-30 1.36626e-30 

          2
          400.0
  0.00001   5.94927e-39 4.94320e-37 1.03620e-35 8.71421e-35 5.83711e-34 1.19838e-33 4.81108e-33 7.47978e-31 
  0.00010   5.88800e-38 4.95428e-36 1.03640e-34 8.70675e-34 5.83536e-33 1.19813e-32 4.78686e-32 3.27813e-30 
  0.00100   5.86556e-37 4.95254e-35 1.03102e-33 8.70814e-33 5.83342e-32 1.19701e-31 4.75412e-31 1.65803e-29 
  0.01000   5.93483e-36 4.94008e-34 1.03221e-32 8.69163e-32 5.77556e-31 1.17131e-30 4.22602e-30 5.06388e-29 
  0.10000   5.93627e-35 4.93645e-33 1.02817e-31 7.76550e-31 3.47461e-30 5.70134e-30 1.48899e-29 5.14834e-29 
  1.00000   5.92277e-34 4.64066e-32 7.17660e-31 2.46028e-30 4.87827e-30 5.64396e-30 6.89429e-30 8.22585e-30 
 10.00000   5.89525e-33 1.15180e-31 9.63271e-31 2.52676e-30 2.67459e-30 2.68642e-30 2.70185e-30 2.71367e-30 
100.00000   4.59754e-32 2.00734e-31 8.53924e-31 1.33280e-30 1.37978e-30 1.38581e-30 1.39336e-30 1.42002e-30 

          2
          600.0
  0.00001   1.20290e-38 1.36056e-36 1.68499e-35 1.54473e-34 1.07573e-33 2.18649e-33 8.42123e-33 2.63801e-30 
  0.00010   1.19188e-37 1.36003e-35 1.68381e-34 1.54477e-33 1.07529e-32 2.18625e-32 8.37520e-32 8.48636e-30 
  0.00100   1.19277e-36 1.35976e-34 1.68262e-33 1.54488e-32 1.07514e-31 2.18510e-31 8.30876e-31 3.50379e-29 
  0.01000   1.20246e-35 1.36033e-33 1.68274e-32 1.54308e-31 1.06736e-30 2.15332e-30 7.62398e-30 1.11361e-28 
  0.10000   1.19538e-34 1.35815e-32 1.67769e-31 1.43824e-30 7.33644e-30 1.25381e-29 3.21578e-29 1.20527e-28 
  1.00000   1.19301e-33 1.22356e-31 1.44316e-30 5.27076e-30 1.10351e-29 1.30276e-29 1.62719e-29 1.98662e-29 
 10.00000   1.19050e-32 2.82655e-31 2.85269e-30 4.90611e-30 5.10826e-30 5.14159e-30 5.19127e-30 5.22934e-30 
100.00000   1.03070e-31 4.74752e-31 1.91815e-30 3.02058e-30 3.13796e-30 3.14684e-30 3.15843e-30 3.16731e-30 

          3
          100.0
  0.00001   2.30026e-44 1.03924e-42 2.14212e-40 1.90124e-39 1.26359e-38 2.56865e-38 1.05043e-37 7.64271e-36 
  0.00010   2.29931e-43 1.03998e-41 2.14109e-39 1.88456e-38 1.20856e-37 2.43139e-37 9.48626e-37 4.37605e-35 
  0.00100   2.29816e-42 1.03839e-40 2.12057e-38 1.85420e-37 1.14939e-36 2.28759e-36 8.67146e-36 1.96903e-34 
  0.01000   2.28563e-41 1.02542e-39 2.05875e-37 1.74890e-36 1.02710e-35 2.00427e-35 6.44213e-35 6.03683e-34 
  0.10000   1.90868e-40 8.92909e-39 1.89968e-36 1.24929e-35 4.28115e-35 6.45848e-35 1.23601e-34 2.43273e-34 
  1.00000   1.18547e-39 1.41650e-38 7.43320e-36 2.40863e-35 3.12602e-35 3.36554e-35 3.75533e-35 4.12002e-35 
 10.00000   4.16543e-39 3.16360e-38 8.93121e-36 1.85430e-35 2.17331e-35 2.19920e-35 2.22531e-35 2.24532e-35 
100.00000   1.60420e-39 7.27780e-38 3.23573e-36 4.20625e-36 4.53066e-36 4.55886e-36 4.59566e-36 4.62386e-36 

          3
          150.0
  0.00001   3.13895e-40 4.54219e-39 6.52210e-38 6.06745e-37 4.45295e-36 9.02752e-36 4.47604e-35 5.04649e-33 
  0.00010   3.14553e-39 4.52911e-38 6.52694e-37 6.05891e-36 4.37186e-35 8.70337e-35 3.75384e-34 1.78869e-32 
  0.00100   3.13962e-38 4.53731e-37 6.53210e-36 6.03862e-35 4.21443e-34 8.14848e-34 3.03592e-33 6.49194e-32 
  0.01000   3.13760e-37 4.51349e-36 6.50862e-35 5.68965e-34 3.24841e-33 6.08560e-33 1.86250e-32 1.96047e-31 
  0.10000   2.95772e-36 3.93702e-35 5.61754e-34 3.66221e-33 1.35534e-32 2.10340e-32 4.30737e-32 9.21458e-32 
  1.00000   1.06653e-35 9.90673e-35 2.93660e-33 7.29329e-33 1.04810e-32 1.14214e-32 1.29908e-32 1.45468e-32 
 10.00000   2.56002e-35 1.18463e-34 3.06389e-33 6.47325e-33 7.21535e-33 7.28107e-33 7.34120e-33 7.38730e-33 
100.00000   1.81762e-35 1.69489e-34 1.44294e-33 1.98406e-33 2.08421e-33 2.09318e-33 2.10489e-33 2.11387e-33 

          3
          200.0
  0.00001   3.21846e-38 2.22946e-37 1.07864e-36 1.14197e-35 8.23859e-35 1.57853e-34 8.98465e-34 2.08692e-31 
  0.00010   3.21805e-37 2.22516e-36 1.07993e-35 1.14193e-34 8.20816e-34 1.56263e-33 7.84636e-33 4.34209e-31 
  0.00100   3.21644e-36 2.22823e-35 1.07861e-34 1.14130e-33 8.15130e-33 1.53280e-32 6.55336e-32 1.17089e-30 
  0.01000   3.21860e-35 2.22667e-34 1.07680e-33 1.11363e-32 6.94548e-32 1.17662e-31 3.02925e-31 3.15920e-30 
  0.10000   3.17980e-34 2.13093e-33 9.80124e-33 5.69508e-32 2.19724e-31 3.53562e-31 7.30688e-31 1.69927e-30 
  1.00000   1.52823e-33 7.45051e-33 4.82348e-32 1.17761e-31 1.79732e-31 1.98979e-31 2.29316e-31 2.59181e-31 
 10.00000   2.23884e-33 7.36290e-33 5.41893e-32 1.07193e-31 1.16157e-31 1.16895e-31 1.17566e-31 1.18081e-31 
100.00000   2.32972e-33 7.35398e-33 2.74595e-32 4.00185e-32 4.17600e-32 4.19136e-32 4.20786e-32 4.22051e-32 

          3
          250.0
  0.00001   4.39770e-37 1.77091e-36 5.99847e-36 6.92155e-35 4.84490e-34 9.37656e-34 5.48897e-33 2.31050e-30 
  0.00010   4.39316e-36 1.77222e-35 5.99616e-35 6.92869e-34 4.83845e-33 9.30597e-33 4.82398e-32 3.36005e-30 
  0.00100   4.38489e-35 1.77680e-34 5.99498e-34 6.92489e-33 4.82862e-32 9.20907e-32 4.16316e-31 7.57760e-30 
  0.01000   4.38668e-34 1.77628e-33 5.98988e-33 6.84368e-32 4.43434e-31 7.60617e-31 2.09011e-30 1.58264e-29 
  0.10000   4.36742e-33 1.74569e-32 5.68319e-32 3.73911e-31 1.20714e-30 1.88426e-30 3.75347e-30 9.29723e-30 
  1.00000   2.90259e-32 8.31680e-32 2.55333e-31 5.94216e-31 9.49225e-31 1.05868e-30 1.24019e-30 1.41117e-30 
 10.00000   3.80446e-32 1.15310e-31 2.87535e-31 5.33385e-31 5.65874e-31 5.68252e-31 5.70508e-31 5.72237e-31 
100.00000   4.35699e-32 8.88299e-32 1.57489e-31 2.29452e-31 2.38732e-31 2.39519e-31 2.40341e-31 2.40943e-31 

          3
          300.0
  0.00001   2.02286e-36 5.94076e-36 1.95699e-35 2.30928e-34 1.58574e-33 3.19426e-33 2.05346e-32 1.03022e-29 
  0.00010   2.03472e-35 5.94674e-35 1.95668e-34 2.30876e-33 1.58360e-32 3.17281e-32 1.74965e-31 1.26923e-29 
  0.00100   2.03414e-34 5.95683e-34 1.95597e-33 2.30713e-32 1.57995e-31 3.13651e-31 1.48793e-30 2.60684e-29 
  0.01000   2.03727e-33 5.94906e-33 1.95449e-32 2.28628e-31 1.48059e-30 2.67875e-30 7.95728e-30 4.96562e-29 
  0.10000   2.03018e-32 5.90469e-32 1.88436e-31 1.39156e-30 4.24234e-30 6.07170e-30 1.20657e-29 3.08140e-29 
  1.00000   1.56756e-31 3.56304e-31 7.58761e-31 1.87964e-30 3.06555e-30 3.44691e-30 4.04508e-30 8.05147e-30 
 10.00000   2.59885e-31 4.60558e-31 1.01485e-30 1.51782e-30 1.56421e-30 1.95904e-30 2.58187e-30 2.87848e-30 
100.00000   2.85657e-31 3.70536e-31 5.99459e-31 7.36303e-31 1.02468e-30 1.15089e-30 1.32431e-30 1.46584e-30 

          3
          350.0
  0.00001   5.13070e-36 1.23542e-35 4.51769e-35 5.48216e-34 3.63897e-33 7.73605e-33 5.65159e-32 2.77791e-29 
  0.00010   5.13872e-35 1.23548e-34 4.51362e-34 5.48437e-33 3.62991e-32 7.67008e-32 4.64517e-31 3.22662e-29 
  0.00100   5.13421e-34 1.23425e-33 4.51565e-33 5.48226e-32 3.61561e-31 7.55723e-31 3.84667e-30 6.24698e-29 
  0.01000   5.13803e-33 1.23142e-32 4.51399e-32 5.44031e-31 3.39768e-30 6.52385e-30 2.08492e-29 1.16156e-28 
  0.10000   5.12797e-32 1.22673e-31 4.36074e-31 3.53646e-30 1.09684e-29 1.51858e-29 2.83918e-29 7.52109e-29 
  1.00000   4.22294e-31 9.48702e-31 1.79850e-30 4.50084e-30 7.19067e-30 8.05258e-30 1.11454e-29 5.66380e-29 
 10.00000   6.60802e-31 1.21701e-30 2.36673e-30 3.08541e-30 6.45291e-30 1.21827e-29 1.63203e-29 1.82881e-29 
100.00000   6.52687e-31 1.00551e-30 1.47372e-30 2.94798e-30 6.27977e-30 7.10777e-30 8.21882e-30 9.10518e-30 

          3
          400.0
  0.00001   8.09852e-36 2.07134e-35 7.88679e-35 1.02935e-33 6.72720e-33 1.43783e-32 1.24288e-31 5.58268e-29 
  0.00010   8.04912e-35 2.07081e-34 7.88296e-34 1.02866e-32 6.70642e-32 1.42116e-31 9.69101e-31 6.44893e-29 
  0.00100   8.10742e-34 2.07174e-33 7.88243e-33 1.02861e-31 6.66468e-31 1.39578e-30 7.66658e-30 1.17610e-28 
  0.01000   8.08603e-33 2.07078e-32 7.87867e-32 1.02192e-30 6.25440e-30 1.21604e-29 4.26956e-29 2.33461e-28 
  0.10000   8.06293e-32 2.06251e-31 7.65209e-31 7.02735e-30 2.19615e-29 3.04829e-29 5.84594e-29 1.76424e-28 
  1.00000   5.97411e-31 1.67553e-30 3.53045e-30 8.37047e-30 1.41480e-29 1.74850e-29 4.04721e-29 2.35259e-28 
 10.00000   9.35745e-31 2.73853e-30 4.24343e-30 5.21563e-30 2.25174e-29 4.76084e-29 6.35488e-29 7.13985e-29 
100.00000   9.80280e-31 2.16086e-30 2.74379e-30 1.05517e-29 2.39788e-29 2.72843e-29 3.16294e-29 3.50632e-29 

          3
          600.0
  0.00001   9.73422e-36 4.86901e-35 2.37364e-34 3.76040e-33 2.35938e-32 5.07270e-32 7.52987e-31 2.21001e-28 
  0.00010   9.72184e-35 4.86710e-34 2.36938e-33 3.75909e-32 2.33488e-31 4.93542e-31 4.74236e-30 2.57344e-28 
